chr	CO_start	CO_end	chr	CO_midpoint_Start	CO_midpoint_End	sample	
10	141271770	141272182	10	141271976	141271977	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
2	14255952	14295782	2	14275867	14275868	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
2	60948180	60948250	2	60948215	60948216	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
2	218385052	218454348	2	218419700	218419701	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
4	182048906	182049080	4	182048993	182048994	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
5	22355636	22356869	5	22356252	22356253	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
7	11715130	11718458	7	11716794	11716795	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
9	134564472	134567374	9	134565923	134565924	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
9	10025943	10035857	9	10030900	10030901	FBMB118_TTAGGC_L002_R1_cm.fastq_q5.bam.group	
1	84298167	84298252	1	84298209	84298210	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
1	89399339	211265586	1	150332462	150332463	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
1	293154467	293154759	1	293154613	293154614	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
2	27549389	27848330	2	27698859	27698860	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
3	9377170	9378475	3	9377822	9377823	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
3	182059287	182059504	3	182059395	182059396	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
3	228946158	228976624	3	228961391	228961392	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
5	10106977	10113846	5	10110411	10110412	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
6	18993618	18993873	6	18993745	18993746	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
7	25159611	25161409	7	25160510	25160511	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
7	131437456	131438308	7	131437882	131437883	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
8	2744604	2889035	8	2816819	2816820	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
9	137092223	137092351	9	137092287	137092288	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
9	7551994	7641659	9	7596826	7596827	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
10	6861172	6862668	10	6861920	6861921	FBMB119_ACTTGA_L002_R1_cm.fastq_q5.bam.group	
4	234420126	234424157	4	234422141	234422142	FBMB12_bowtie2_q5.bam.group	
5	76218098	76218671	5	76218384	76218385	FBMB12_bowtie2_q5.bam.group	
6	150074175	151583327	6	150828751	150828752	FBMB12_bowtie2_q5.bam.group	
2	222208774	222210344	2	222209559	222209560	FBMB120_GATCAG_L002_R1_cm.fastq	
4	3474315	3475805	4	3475060	3475061	FBMB120_GATCAG_L002_R1_cm.fastq	
8	119370687	119374330	8	119372508	119372509	FBMB120_GATCAG_L002_R1_cm.fastq	
1	203551672	260400308	1	231975990	231975991	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
2	222208774	222210344	2	222209559	222209560	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
4	179080589	179081111	4	179080850	179080851	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
6	111049178	111139909	6	111094543	111094544	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
7	4827678	4827845	7	4827761	4827762	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
9	142044596	142044868	9	142044732	142044733	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
10	7105040	7105296	10	7105168	7105169	FBMB121_TAGCTT_L002_R1_cm.fastq_q5.bam.group	
1	276961080	276986608	1	276973844	276973845	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
3	9436000	9450165	3	9443082	9443083	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
4	4805234	4807350	4	4806292	4806293	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
5	173804762	173810611	5	173807686	173807687	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
6	154682763	154692583	6	154687673	154687674	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
7	5775467	5781434	7	5778450	5778451	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
8	101873760	101874359	8	101874059	101874060	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
9	138630434	138689528	9	138659981	138659982	FBMB122_CGATGT_L008_R1_001.fastq_q5.bam.group	
1	71696647	71950710	1	71823678	71823679	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
1	77596880	211265586	1	144431233	144431234	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
1	286980899	286981185	1	286981042	286981043	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
2	136350297	136351172	2	136350734	136350735	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
2	230606509	230606894	2	230606701	230606702	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
3	2783706	2783774	3	2783740	2783741	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
3	168430435	168440688	3	168435561	168435562	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
4	159981065	159981146	4	159981105	159981106	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
5	6304808	6314477	5	6309642	6309643	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
5	176030507	176031976	5	176031241	176031242	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
7	17694374	17695970	7	17695172	17695173	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
7	146464756	146470586	7	146467671	146467672	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
8	4453136	4453396	8	4453266	4453267	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
9	134616825	134616998	9	134616911	134616912	FBMB123_GGCTAC_L002_R1_cm.fastq_q5.bam.group	
1	281335577	281335590	1	281335583	281335584	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
3	22569644	22570710	3	22570177	22570178	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
3	187444992	187445121	3	187445056	187445057	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
4	14032160	14033065	4	14032612	14032613	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
4	180044291	180054727	4	180049509	180049510	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
6	106765435	106778903	6	106772169	106772170	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
7	134137070	134137505	7	134137287	134137288	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
8	118075400	118075477	8	118075438	118075439	FBMB124_TGACCA_L008_R1_001.fastq_q5.bam.group	
1	21756319	21797549	1	21776934	21776935	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
1	242900077	242918034	1	242909055	242909056	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
2	14069909	14103667	2	14086788	14086789	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
2	208331018	208340028	2	208335523	208335524	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
4	178576325	178576630	4	178576477	178576478	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
5	199447400	200303940	5	199875670	199875671	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
6	94759445	94759731	6	94759588	94759589	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
7	2871286	2874924	7	2873105	2873106	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
7	143416968	143417361	7	143417164	143417165	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
8	3119340	4451469	8	3785404	3785405	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
8	164066024	164067678	8	164066851	164066852	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
9	87287091	87287372	9	87287231	87287232	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
10	14496467	14496501	10	14496484	14496485	FBMB125_CGATGT_L002_R1_001.fastq_q5.bam.group	
1	11946973	11951730	1	11949351	11949352	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
1	265671329	265681114	1	265676221	265676222	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
3	9808377	9808934	3	9808655	9808656	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
4	5153995	5155624	4	5154809	5154810	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
5	22737172	22741123	5	22739147	22739148	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
5	200671955	200672177	5	200672066	200672067	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
6	154728481	156458362	6	155593421	155593422	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
7	168585527	168591667	7	168588597	168588598	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
8	97711502	97714301	8	97712901	97712902	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
9	151183945	151184808	9	151184376	151184377	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
9	26820597	26821173	9	26820885	26820886	FBMB126_ACAGTG_L008_R1_001.fastq_q5.bam.group	
1	178407715	178407776	1	178407745	178407746	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
2	10660191	10664345	2	10662268	10662269	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
7	26967544	26997849	7	26982696	26982697	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
8	35399900	35400663	8	35400281	35400282	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
8	169063636	169064639	8	169064137	169064138	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
9	123361306	123368227	9	123364766	123364767	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
10	139230416	139250295	10	139240355	139240356	FBMB127_TGACCA_L002_R1_001.fastq_q5.bam.group	
1	8537290	8537344	1	8537317	8537318	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
1	85017128	85017445	1	85017286	85017287	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
1	296964793	296969007	1	296966900	296966901	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
2	22610142	22611645	2	22610893	22610894	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
2	214661368	214664669	2	214663018	214663019	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
3	209839175	209839951	3	209839563	209839564	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
4	13232840	13232943	4	13232891	13232892	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
4	181928331	181944551	4	181936441	181936442	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
5	76097976	76099091	5	76098533	76098534	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
6	156828670	156865791	6	156847230	156847231	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
8	6574212	6583168	8	6578690	6578691	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
8	130684972	130686454	8	130685713	130685714	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
8	166793722	166838305	8	166816013	166816014	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
9	6291139	6298980	9	6295059	6295060	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
10	10616216	10619579	10	10617897	10617898	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
10	135061013	135061060	10	135061036	135061037	FBMB128_ACAGTG_L002_R1_001.fastq_q5.bam.group	
1	15786532	15786901	1	15786716	15786717	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
1	251145668	251145768	1	251145718	251145719	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
2	233673930	233675143	2	233674536	233674537	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
3	22697178	22718974	3	22708076	22708077	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
4	10218860	10218917	4	10218888	10218889	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
4	82244469	82247341	4	82245905	82245906	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
5	38760840	39797920	5	39279380	39279381	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
6	105083587	105087689	6	105085638	105085639	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
6	117443908	122075433	6	119759670	119759671	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
7	4260456	4260684	7	4260570	4260571	FBMB129_GCCAAT_L002_R1_001.fastq_q5.bam.group	
