chr,pos_v5,SNP_newID,cM,cM_norm
Chr1,27447359,M251,45.2,50.0
Chr1,27558037,M252,45.4,50.199999999999996
Chr1,27666297,M253,45.6,50.4
Chr1,27774529,M254,45.8,50.599999999999994
Chr1,27882786,M255,46.0,50.8
Chr1,27990833,M256,46.2,51.0
Chr1,28206887,M258,46.6,51.4
Chr1,28314259,M259,46.8,51.599999999999994
Chr1,28422720,M260,47.0,51.8
Chr1,28570778,M261,47.2,52.0
Chr1,28757489,M262,47.4,52.199999999999996
Chr1,29106365,M264,47.8,52.599999999999994
Chr1,29295137,M265,48.0,52.8
Chr1,29477531,M266,48.2,53.0
Chr1,29653087,M267,48.4,53.199999999999996
Chr1,29812959,M268,48.6,53.4
Chr1,30232423,M270,49.0,53.8
Chr1,30444073,M271,49.2,54.0
Chr1,30789536,M273,49.6,54.4
Chr1,30985030,M274,49.8,54.599999999999994
Chr1,31161956,M275,50.0,54.8
Chr1,31536469,M277,50.4,55.199999999999996
Chr1,31730808,M278,50.6,55.4
Chr1,31951540,M279,50.8,55.599999999999994
Chr1,32138363,M280,51.0,55.8
Chr1,32317540,M281,51.2,56.0
Chr1,32516700,M282,51.4,56.199999999999996
Chr1,32680309,M283,51.6,56.4
Chr1,32833400,M284,51.8,56.599999999999994
Chr1,33116430,M286,52.2,57.0
Chr1,33267569,M287,52.4,57.199999999999996
Chr1,33418892,M288,52.6,57.4
Chr1,33579693,M289,52.8,57.599999999999994
Chr1,33738701,M290,53.0,57.8
Chr1,33890134,M291,53.2,58.0
Chr1,34000170,M292,53.4,58.199999999999996
Chr1,34203551,M293,53.6,58.4
Chr1,34741840,M294,53.8,58.599999999999994
Chr1,35053679,M295,54.0,58.8
Chr1,35300015,M296,54.2,59.0
Chr1,35648720,M297,54.4,59.199999999999996
Chr1,35962028,M298,54.6,59.4
Chr1,36602239,M300,55.0,59.8
Chr1,36899401,M301,55.2,60.0
Chr1,37198633,M302,55.4,60.199999999999996
Chr1,37511877,M303,55.6,60.4
Chr1,37814010,M304,55.8,60.599999999999994
Chr1,38111506,M305,56.0,60.8
Chr1,38703916,M307,56.4,61.199999999999996
Chr1,38894304,M308,56.6,61.4
Chr1,39100271,M309,56.8,61.599999999999994
Chr1,39298341,M310,57.0,61.8
Chr1,39500418,M311,57.2,62.0
Chr1,39700559,M312,57.4,62.199999999999996
Chr1,39906572,M313,57.6,62.4
Chr1,40109414,M314,57.8,62.599999999999994
Chr1,40320114,M315,58.0,62.8
Chr1,40524114,M316,58.2,63.0
Chr1,40746838,M317,58.4,63.199999999999996
Chr1,40960733,M318,58.6,63.4
Chr1,41176017,M319,58.8,63.599999999999994
Chr1,42399177,M321,59.2,64.0
Chr1,42954241,M322,59.4,64.2
Chr1,43947739,M324,59.8,64.6
Chr1,44069012,M325,60.0,64.8
Chr1,44229853,M326,60.2,65.0
Chr1,44384548,M327,60.4,65.2
Chr1,44559168,M328,60.6,65.4
Chr1,44859740,M329,60.8,65.6
Chr1,45169044,M330,61.0,65.8
Chr1,45442422,M331,61.2,66.0
Chr1,46200572,M335,62.0,66.8
Chr1,46458394,M336,62.2,67.0
Chr1,46762433,M337,62.4,67.2
Chr1,47087066,M338,62.6,67.4
Chr1,47390686,M339,62.8,67.6
Chr1,47680789,M340,63.0,67.8
Chr1,48253877,M342,63.4,68.2
Chr1,48888059,M344,63.8,68.6
Chr1,49190342,M345,64.0,68.8
Chr1,49489688,M346,64.2,69.0
Chr1,49785088,M347,64.4,69.2
Chr1,50089581,M348,64.6,69.39999999999999
Chr1,50384481,M349,64.8,69.6
Chr1,50644739,M350,65.0,69.8
Chr1,50934075,M351,65.2,70.0
Chr1,51248953,M352,65.4,70.2
Chr1,51425108,M353,65.6,70.39999999999999
Chr1,51498229,M354,65.8,70.6
Chr1,51700941,M355,66.0,70.8
Chr1,51858019,M356,66.2,71.0
Chr1,52019606,M357,66.4,71.2
Chr1,52166000,M358,66.6,71.39999999999999
Chr1,53313597,M366,68.2,73.0
Chr1,53469260,M367,68.4,73.2
Chr1,53624726,M368,68.6,73.39999999999999
Chr1,53798039,M369,68.8,73.6
Chr1,54240058,M370,69.0,73.8
Chr1,54992482,M371,69.2,74.0
Chr1,56339208,M374,69.8,74.6
Chr1,56532470,M375,70.0,74.8
Chr1,56819393,M376,70.2,75.0
Chr1,57226057,M377,70.4,75.2
Chr1,57648421,M378,70.6,75.39999999999999
Chr1,58053222,M379,70.8,75.6
Chr1,58486986,M380,71.0,75.8
Chr1,58864415,M381,71.2,76.0
Chr1,59187812,M382,71.4,76.2
Chr1,60017504,M384,71.8,76.6
Chr1,60384099,M385,72.0,76.8
Chr1,61345019,M387,72.4,77.2
Chr1,62036900,M388,72.6,77.39999999999999
Chr1,63399916,M390,73.0,77.8
Chr1,64341561,M391,73.2,78.0
Chr1,64810969,M392,73.4,78.2
Chr1,65296540,M393,73.6,78.39999999999999
Chr1,66452030,M395,74.0,78.8
Chr1,67077134,M398,74.6,79.39999999999999
Chr1,67772991,M399,74.8,79.6
Chr1,68117790,M400,75.0,79.8
Chr1,68486484,M401,75.2,80.0
Chr1,68856903,M402,75.4,80.2
Chr1,69201697,M403,75.6,80.39999999999999
Chr1,69876335,M405,76.0,80.8
Chr1,70248478,M406,76.2,81.0
Chr1,70633308,M407,76.4,81.2
Chr1,71361995,M409,76.8,81.6
Chr1,71700460,M410,77.0,81.8
Chr1,72007526,M411,77.2,82.0
Chr1,72381127,M412,77.4,82.2
Chr1,72707837,M413,77.6,82.39999999999999
Chr1,73082686,M414,77.8,82.6
Chr1,73457863,M415,78.0,82.8
Chr1,73826355,M416,78.2,83.0
Chr1,74185520,M417,78.4,83.2
Chr1,74573683,M418,78.6,83.39999999999999
Chr1,74911839,M419,78.8,83.6
Chr1,75283981,M420,79.0,83.8
Chr1,75673657,M421,79.2,84.0
Chr1,76036792,M422,79.4,84.2
Chr1,76345759,M423,79.6,84.39999999999999
Chr1,76839790,M424,79.8,84.6
Chr1,77452518,M425,80.0,84.8
Chr1,78730499,M427,80.4,85.2
Chr1,79372224,M428,80.6,85.39999999999999
Chr1,79920199,M429,80.8,85.6
Chr1,80579249,M430,81.0,85.8
Chr1,81574907,M432,81.4,86.2
Chr1,81920006,M433,81.6,86.39999999999999
Chr1,82600796,M435,82.0,86.8
Chr1,82940215,M436,82.2,87.0
Chr1,83350866,M437,82.4,87.2
Chr1,84538235,M440,83.0,87.8
Chr1,84959809,M441,83.2,88.0
Chr1,85332151,M442,83.4,88.2
Chr1,85741272,M443,83.6,88.39999999999999
Chr1,86061320,M444,83.8,88.6
Chr1,86499843,M445,84.0,88.8
Chr1,86884176,M446,84.2,89.0
Chr1,87292523,M447,84.4,89.2
Chr1,87580704,M448,84.6,89.39999999999999
Chr1,88734691,M450,85.0,89.8
Chr1,89873289,M452,85.4,90.2
Chr1,90439319,M453,85.6,90.39999999999999
Chr1,91073184,M454,85.8,90.6
Chr1,92181760,M456,86.2,91.0
Chr1,92631207,M457,86.4,91.2
Chr1,93682346,M458,86.6,91.39999999999999
Chr1,95799097,M460,87.0,91.8
Chr1,97101725,M461,87.2,92.0
Chr1,98710677,M462,87.4,92.2
Chr1,100301936,M463,87.6,92.39999999999999
Chr1,101809320,M464,87.8,92.6
Chr1,102871704,M465,88.0,92.8
Chr1,104227156,M466,88.2,93.0
Chr1,105762754,M467,88.4,93.2
Chr1,112161631,M469,88.8,93.6
Chr1,116133743,M470,89.0,93.8
Chr1,127399812,M471,89.2,94.0
Chr1,148534037,M475,90.0,94.8
Chr1,149986855,M476,90.2,95.0
Chr1,155919840,M480,91.0,95.8
Chr1,157380408,M481,91.2,96.0
Chr1,159222213,M482,91.4,96.2
Chr1,161102930,M483,91.6,96.39999999999999
Chr1,162823832,M484,91.8,96.6
Chr1,163443474,M485,92.0,96.8
Chr1,164042361,M486,92.2,97.0
Chr1,165284814,M488,92.6,97.39999999999999
Chr1,165867589,M489,92.8,97.6
Chr1,166516303,M490,93.0,97.8
Chr1,167099294,M491,93.2,98.0
Chr1,167688549,M492,93.4,98.2
Chr1,168298988,M493,93.6,98.39999999999999
Chr1,169463047,M495,94.0,98.8
Chr1,170056646,M496,94.2,99.0
Chr1,170657858,M497,94.4,99.2
Chr1,171276140,M498,94.6,99.39999999999999
Chr1,172399634,M500,95.0,99.8
Chr1,172932859,M501,95.2,100.0
Chr1,173456487,M502,95.4,100.2
Chr1,173976408,M503,95.6,100.39999999999999
Chr1,174516999,M504,95.8,100.6
Chr1,175049413,M505,96.0,100.8
Chr1,175643837,M506,96.2,101.0
Chr1,176148025,M507,96.4,101.2
Chr1,176557066,M508,96.6,101.39999999999999
Chr1,177403684,M510,97.0,101.8
Chr1,178251396,M512,97.4,102.2
Chr1,178638379,M513,97.6,102.39999999999999
Chr1,179000490,M514,97.8,102.6
Chr1,179363383,M515,98.0,102.8
Chr1,179708528,M516,98.2,103.0
Chr1,179838885,M519,98.8,103.6
Chr1,179899151,M520,99.0,103.8
Chr1,180776476,M523,99.6,104.39999999999999
Chr1,181025130,M524,99.8,104.6
Chr1,181281076,M525,100.0,104.8
Chr1,181833701,M527,100.4,105.2
Chr1,182036097,M528,100.6,105.39999999999999
Chr1,182537236,M530,101.0,105.8
Chr1,182772712,M531,101.2,106.0
Chr1,183020193,M532,101.4,106.2
Chr1,183267099,M533,101.6,106.39999999999999
Chr1,183508112,M534,101.8,106.6
Chr1,183757818,M535,102.0,106.8
Chr1,183983775,M536,102.2,107.0
Chr1,184928414,M540,103.0,107.8
Chr1,185172990,M541,103.2,108.0
Chr1,185414704,M542,103.4,108.2
Chr1,185664393,M543,103.6,108.39999999999999
Chr1,185914172,M544,103.8,108.6
Chr1,186409055,M546,104.2,109.0
Chr1,186659369,M547,104.4,109.2
Chr1,186893129,M548,104.6,109.39999999999999
Chr1,187165192,M549,104.8,109.6
Chr1,187388033,M550,105.0,109.8
Chr1,187688465,M551,105.2,110.0
Chr1,188124983,M553,105.6,110.39999999999999
Chr1,188372806,M554,105.8,110.6
Chr1,188631912,M555,106.0,110.8
Chr1,188866393,M556,106.2,111.0
Chr1,189377845,M558,106.6,111.39999999999999
Chr1,189631069,M559,106.8,111.6
Chr1,189847898,M560,107.0,111.8
Chr1,190105903,M561,107.2,112.0
Chr1,190403464,M562,107.4,112.2
Chr1,190815277,M564,107.8,112.6
Chr1,191070014,M565,108.0,112.8
Chr1,191320954,M566,108.2,113.0
Chr1,191521628,M567,108.4,113.2
Chr1,191757616,M568,108.6,113.39999999999999
Chr1,191915285,M569,108.8,113.6
Chr1,192298525,M571,109.2,114.0
Chr1,192503174,M572,109.4,114.2
Chr1,192631659,M573,109.6,114.39999999999999
Chr1,192819117,M574,109.8,114.6
Chr1,192995112,M575,110.0,114.8
Chr1,193167872,M576,110.2,115.0
Chr1,193344851,M577,110.4,115.2
Chr1,193519552,M578,110.6,115.39999999999999
Chr1,193687050,M579,110.8,115.6
Chr1,193859723,M580,111.0,115.8
Chr1,194032955,M581,111.2,116.0
Chr1,194200449,M582,111.4,116.2
Chr1,194373935,M583,111.6,116.39999999999999
Chr1,194538308,M584,111.8,116.6
Chr1,194708811,M585,112.0,116.8
Chr1,195093584,M587,112.4,117.2
Chr1,195255652,M588,112.6,117.39999999999999
Chr1,195430689,M589,112.8,117.6
Chr1,195604276,M590,113.0,117.8
Chr1,195773921,M591,113.2,118.0
Chr1,195952910,M592,113.4,118.2
Chr1,196128225,M593,113.6,118.39999999999999
Chr1,196302487,M594,113.8,118.6
Chr1,196781523,M597,114.4,119.2
Chr1,196955273,M598,114.6,119.39999999999999
Chr1,197144577,M599,114.8,119.6
Chr1,197494034,M600,115.0,119.8
Chr1,197837826,M601,115.2,120.0
Chr1,198188426,M602,115.4,120.2
Chr1,198518962,M603,115.6,120.39999999999999
Chr1,198878956,M604,115.8,120.6
Chr1,199238805,M605,116.0,120.8
Chr1,199912878,M606,116.2,121.0
Chr1,200472446,M607,116.4,121.2
Chr1,200695814,M608,116.6,121.39999999999999
Chr1,200910681,M609,116.8,121.6
Chr1,201314946,M611,117.2,122.0
Chr1,201523731,M612,117.4,122.2
Chr1,201737529,M613,117.6,122.39999999999999
Chr1,201883145,M614,117.8,122.6
Chr1,202147820,M615,118.0,122.8
Chr1,202575459,M617,118.4,123.2
Chr1,202641317,M618,118.6,123.39999999999999
Chr1,202809341,M619,118.8,123.6
Chr1,203366186,M622,119.4,124.2
Chr1,203575253,M623,119.6,124.39999999999999
Chr1,203783991,M624,119.8,124.6
Chr1,204193871,M626,120.2,125.0
Chr1,204436965,M627,120.4,125.2
Chr1,204685779,M628,120.6,125.39999999999999
Chr1,204921080,M629,120.8,125.6
Chr1,205193733,M630,121.0,125.8
Chr1,205429826,M631,121.2,126.0
Chr1,205678102,M632,121.4,126.2
Chr1,205907611,M633,121.6,126.39999999999999
Chr1,206148423,M634,121.8,126.6
Chr1,206390305,M635,122.0,126.8
Chr1,206636932,M636,122.2,127.0
Chr1,207125991,M638,122.6,127.39999999999999
Chr1,207366888,M639,122.8,127.6
Chr1,207577141,M640,123.0,127.8
Chr1,208229352,M643,123.6,128.4
Chr1,208303334,M644,123.8,128.6
Chr1,208383458,M645,124.0,128.8
Chr1,208624817,M646,124.2,129.0
Chr1,209134705,M648,124.6,129.4
Chr1,209370338,M649,124.8,129.6
Chr1,209617794,M650,125.0,129.8
Chr1,209872635,M651,125.2,130.0
Chr1,210134483,M652,125.4,130.20000000000002
Chr1,210395348,M653,125.6,130.4
Chr1,210654036,M654,125.8,130.6
Chr1,210901572,M655,126.0,130.8
Chr1,211416780,M657,126.4,131.20000000000002
Chr1,211676714,M658,126.6,131.4
Chr1,211886843,M659,126.8,131.6
Chr1,212187307,M660,127.0,131.8
Chr1,212430859,M661,127.2,132.0
Chr1,212763869,M662,127.4,132.20000000000002
Chr1,213689618,M664,127.8,132.6
Chr1,214191437,M665,128.0,132.8
Chr1,214680174,M666,128.2,133.0
Chr1,215668843,M668,128.6,133.4
Chr1,216168702,M669,128.8,133.60000000000002
Chr1,216663133,M670,129.0,133.8
Chr1,217149085,M671,129.2,134.0
Chr1,217648065,M672,129.4,134.20000000000002
Chr1,218135676,M673,129.6,134.4
Chr1,218247925,M674,129.8,134.60000000000002
Chr1,218364846,M675,130.0,134.8
Chr1,218654592,M677,130.4,135.20000000000002
Chr1,218701469,M678,130.6,135.4
Chr1,218816084,M679,130.8,135.60000000000002
Chr1,219074088,M681,131.2,136.0
Chr1,219188392,M682,131.4,136.20000000000002
Chr1,219349640,M683,131.6,136.4
Chr1,219505303,M684,131.8,136.60000000000002
Chr1,219666413,M685,132.0,136.8
Chr1,219835947,M686,132.2,137.0
Chr1,219988004,M687,132.4,137.20000000000002
Chr1,220149267,M688,132.6,137.4
Chr1,220443023,M689,132.8,137.60000000000002
Chr1,220843071,M690,133.0,137.8
Chr1,221243627,M691,133.2,138.0
Chr1,221670371,M692,133.4,138.20000000000002
Chr1,222155832,M694,133.8,138.60000000000002
Chr1,222371266,M695,134.0,138.8
Chr1,222584102,M696,134.2,139.0
Chr1,223114599,M699,134.8,139.60000000000002
Chr1,223366020,M701,135.2,140.0
Chr1,223579283,M702,135.4,140.20000000000002
Chr1,223831229,M703,135.6,140.4
Chr1,224086302,M704,135.8,140.60000000000002
Chr1,224343872,M705,136.0,140.8
Chr1,224588496,M706,136.2,141.0
Chr1,224849866,M707,136.4,141.20000000000002
Chr1,225349026,M709,136.8,141.60000000000002
Chr1,225611026,M710,137.0,141.8
Chr1,225890961,M711,137.2,142.0
Chr1,227205230,M714,137.8,142.60000000000002
Chr1,227729187,M715,138.0,142.8
Chr1,228242476,M716,138.2,143.0
Chr1,228731850,M717,138.4,143.20000000000002
Chr1,229140525,M718,138.6,143.4
Chr1,229614992,M719,138.8,143.60000000000002
Chr1,230133320,M720,139.0,143.8
Chr1,230649673,M721,139.2,144.0
Chr1,231577862,M723,139.6,144.4
Chr1,232136314,M724,139.8,144.60000000000002
Chr1,232644854,M725,140.0,144.8
Chr1,232990119,M726,140.2,145.0
Chr1,233645074,M728,140.6,145.4
Chr1,233977632,M729,140.8,145.60000000000002
Chr1,234317987,M730,141.0,145.8
Chr1,234861134,M731,141.2,146.0
Chr1,235511163,M733,141.6,146.4
Chr1,235937860,M734,141.8,146.60000000000002
Chr1,236332181,M735,142.0,146.8
Chr1,236780568,M736,142.2,147.0
Chr1,237214856,M737,142.4,147.20000000000002
Chr1,237607520,M738,142.6,147.4
Chr1,237870119,M739,142.8,147.60000000000002
Chr1,238642291,M741,143.2,148.0
Chr1,239031942,M742,143.4,148.20000000000002
Chr1,239426590,M743,143.6,148.4
Chr1,239820573,M744,143.8,148.60000000000002
Chr1,240592730,M746,144.2,149.0
Chr1,240966509,M747,144.4,149.20000000000002
Chr1,241362879,M748,144.6,149.4
Chr1,241743661,M749,144.8,149.60000000000002
Chr1,242554995,M751,145.2,150.0
Chr1,242939528,M752,145.4,150.20000000000002
Chr1,243328574,M753,145.6,150.4
Chr1,244281061,M755,146.0,150.8
Chr1,245295774,M757,146.4,151.20000000000002
Chr1,245794852,M758,146.6,151.4
Chr1,246073384,M759,146.8,151.60000000000002
Chr1,246365732,M760,147.0,151.8
Chr1,246652562,M761,147.2,152.0
Chr1,246933774,M762,147.4,152.20000000000002
Chr1,247055616,M765,148.0,152.8
Chr1,247122397,M766,148.2,153.0
Chr1,247190880,M767,148.4,153.20000000000002
Chr1,247256411,M768,148.6,153.4
Chr1,247321104,M769,148.8,153.60000000000002
Chr1,247388491,M770,149.0,153.8
Chr1,247456203,M771,149.2,154.0
Chr1,248000166,M774,149.8,154.60000000000002
Chr1,248325324,M775,150.0,154.8
Chr1,248591620,M776,150.2,155.0
Chr1,248863900,M777,150.4,155.20000000000002
Chr1,249221823,M778,150.6,155.4
Chr1,249485388,M779,150.8,155.60000000000002
Chr1,250003493,M781,151.2,156.0
Chr1,250061571,M782,151.4,156.20000000000002
Chr1,250334965,M783,151.6,156.4
Chr1,250359572,M784,151.8,156.60000000000002
Chr1,250690005,M785,152.0,156.8
Chr1,251010660,M786,152.2,157.0
Chr1,251246924,M787,152.4,157.20000000000002
Chr1,251498977,M788,152.6,157.4
Chr1,251940560,M790,153.0,157.8
Chr1,252180700,M791,153.2,158.0
Chr1,252341947,M793,153.6,158.4
Chr1,252448917,M794,153.8,158.60000000000002
Chr1,252525388,M795,154.0,158.8
Chr1,252614905,M796,154.2,159.0
Chr1,252693571,M797,154.4,159.20000000000002
Chr1,252802400,M798,154.6,159.4
Chr1,252895524,M799,154.8,159.60000000000002
Chr1,252980056,M800,155.0,159.8
Chr1,253081315,M801,155.2,160.0
Chr1,253173263,M802,155.4,160.20000000000002
Chr1,253307209,M803,155.6,160.4
