taxon	chr	start	end
A5837	1	2388034	2631740
A1322	1	2565728	2746622
A1324	1	2635201	2746622
A1919	1	2565765	2746622
A2049	1	2635201	2746622
A3074	1	2565954	2746622
A5174	1	2635201	2746622
A5192	1	2628679	2746622
A5498	1	2564653	2746622
A5772	1	2635201	2746622
B3013	1	2635201	2746622
E0449	1	2635201	2746622
E1348	1	2635201	2746622
E2773	1	2635201	2746622
E2685	1	2746622	2774223
A4805	1	2635201	2774245
A0194	1	2565954	2780065
A1001	1	2635201	2780065
A2107	1	2635201	2780065
A2430	1	2635201	2780065
A3428	1	2635201	2780065
A4130	1	2563639	2780065
B3251	1	2746622	2780065
B3580	1	2635201	2780065
E0081	1	2635201	2780065
E0547	1	2635201	2780065
E1340	1	2635201	2780065
E1971	1	2746622	2780065
E2994	1	2635201	2780065
A0524	1	2566073	2780108
A2987	1	2746622	2780108
A3587	1	2565954	2780108
A4550	1	2635201	2780108
E1817	1	2635201	2780108
E2280	1	2746622	2780108
B3728	1	2635201	2780137
E2710	1	2564653	2780137
E2960	1	2628605	2780137
A3020	1	2780137	2781909
B3021	1	2780137	2781909
B3733	1	2780137	2781909
E0057	1	2635251	2781909
E1600	1	2780137	2781909
A1918	1	2565954	2782111
A5744	1	2635201	2782111
A2894	1	2780108	2782144
E1168	1	2780137	2782144
A2185	1	2746622	2782198
A1157	1	2780137	2782202
A3136	1	2780137	2782202
A3549	1	2635201	2782202
A4161	1	2781909	2782202
E2635	1	2562866	2782202
A1685	1	2782144	2809911
A1952	1	2782198	2809911
A2579	1	2782144	2809911
A2589	1	2782252	2809911
A3113	1	2782144	2809911
A4537	1	2782583	2809921
B3253	1	2782583	2809921
E0081	1	2782583	2809921
A2588	1	2782252	2809945
B3662	1	2782444	2809945
E0608	1	2782144	2809945
E2182	1	2782444	2809945
A0696	1	2782144	2810058
E0477	1	2782252	2816252
A3058	1	2816252	2819626
A4685	1	2809911	2819626
A5737	1	2782202	2819626
B3030	1	2782201	2820323
A2390	1	2782144	2820519
E2973	1	2782532	2820519
A4261	1	2812661	2820531
A1854	1	2782201	2827418
A2831	1	2782252	2827418
A4770	1	2820531	2827418
E2471	1	2746622	2827418
A2074	1	2809911	2829566
E0765	1	2818896	2829566
E1633	1	2809945	2829566
A2988	1	2829516	2869585
A5638	1	2829516	2870204
B3326	1	2829516	2870204
E1732	1	2829516	2870204
A2551	1	2829566	2870251
A5135	1	2829566	2870270
A4240	1	2829566	2870380
E1908	1	2829566	2872359
E2353	1	2829566	2872366
E2773	1	2829566	2881822
A4006	1	2829110	2883026
E1911	1	2882836	2888479
E2573	1	2882836	2888479
E2168	1	2883722	2894947
A1833	1	2888479	2895022
A0329	1	2870270	2895103
A5501	1	2888479	2895103
B3212	1	2888943	2895103
E1977	1	2888479	2895370
E2877	1	2895678	2896352
E2072	1	2895671	2935065
A2284	1	2896414	2935080
E1458	1	2959578	2973045
B3575	1	2896414	2973084
A0949	1	2935269	2976714
E2321	1	2971543	2976714
A0349	1	2895370	2976744
A3487	1	2896131	2976744
A4549	1	2935065	3032552
B3419	1	2973084	3032552
E0789	1	2895260	3032552
A5388	1	2935269	3033212
E0301	1	2935308	3035772
E2203	1	2976744	3035772
A1070	1	2935246	3035787
A3575	1	2935284	3035787
A5409	1	2976714	3035787
A5721	1	2935269	3035787
B3166	1	2935308	3035787
E1580	1	2976744	3035787
E1813	1	2976714	3035787
A4812	1	2935274	3037218
A0360	1	2935269	3037290
A4164	1	2935193	3051978
A3249	1	2935065	3052011
E1992	1	2976744	3052015
A3520	1	2976744	3052069
A5110	1	3035787	3052069
A0586	1	2959578	3052092
A1118	1	2959578	3052092
A1508	1	2959578	3052092
A2599	1	2895260	3052092
A3131	1	2976744	3052092
A4310	1	2976744	3052092
A4573	1	2976744	3052092
A4900	1	2973049	3052092
B3024	1	2895671	3052092
E0840	1	2976744	3052092
E1848	1	2935065	3052092
A0173	1	2935269	3095410
A1589	1	2976744	3095410
A0615	1	3052092	3095456
A1857	1	2896131	3095456
A3717	1	3052092	3095456
E0622	1	3052092	3095456
E2876	1	2935193	3095456
A2681	1	3095456	3095566
A3423	1	2973049	3095611
B3481	1	2973022	3095611
E0315	1	3035787	3095611
E1258	1	3052092	3095611
A0014	1	3037197	3105222
A1040	1	3052092	3105222
A1638	1	2935065	3105222
A2331	1	3052092	3105222
A3676	1	3037197	3105222
A4498	1	2959578	3105222
E0096	1	3037197	3105222
E0654	1	3035787	3105222
E2208	1	3052069	3105222
E1695	1	3035787	3105223
A0404	1	3105222	3117442
E2956	1	3051955	3117442
A2685	1	2935065	3117493
A4188	1	2935065	3117493
A4609	1	2896131	3117493
E2374	1	3052172	3117493
A3098	1	3051978	3117669
B3463	1	3105671	3122936
A0014	1	3117669	3123937
A1927	1	2959680	3123937
E1039	1	3035772	3123937
E1180	1	3117493	3164652
A3358	1	2895671	3164714
A5843	1	2895671	3164714
A0114	1	3117442	3172935
A0219	1	3123937	3172935
A0552	1	3123937	3172935
A1163	1	3123937	3172935
A1174	1	3123937	3172935
A3101	1	3117643	3172935
A3541	1	3123937	3172935
A5105	1	3123937	3172935
B3305	1	3095456	3172935
E2371	1	2959578	3172935
E2983	1	2935193	3172935
A0072	1	3117669	3173038
A0328	1	3095456	3173038
A0358	1	2935284	3173038
A0404	1	3123937	3173038
A0453	1	3095410	3173038
A2572	1	3052069	3173038
A2962	1	3117493	3173038
A3477	1	3123937	3173038
A3728	1	2976714	3173038
A3784	1	2935065	3173038
A5491	1	3123937	3173038
E2706	1	3117669	3173038
A4576	1	3117669	3173425
A1289	1	3105222	3173520
A5238	1	3123937	3173520
A5744	1	3095456	3173520
A0405	1	3122817	3173534
A1364	1	3122936	3173534
E0673	1	3117685	3173682
A1305	1	3117669	3173712
A0525	1	3117643	3173843
A0771	1	3117669	3173843
A3218	1	3117669	3173843
A4534	1	2959578	3173843
A2304	1	3105222	3174150
A0974	1	3117493	3174545
A5333	1	3123937	3174545
A2170	1	2895671	3174559
A0337	1	3174545	3175677
A0939	1	3174545	3176152
A1537	1	3174545	3176152
A4232	1	3174559	3176152
A5255	1	3174545	3178710
A2011	1	3176242	3225878
A2769	1	3172935	3225878
E0681	1	3178710	3225878
E2079	1	3178710	3225878
E2725	1	3176152	3225878
A2511	1	3175677	3225885
E1294	1	3178710	3225885
A1821	1	3178710	3225959
A4099	1	3178710	3225959
A3957	1	3117669	3226429
A4886	1	3178710	3230295
A2035	1	3173843	3230373
A2148	1	3176152	3230373
A1002	1	3176242	3230447
E1542	1	3175677	3230447
E1550	1	3117669	3270854
E1173	1	3230447	3272933
A0126	1	3230447	3273027
A0778	1	3176242	3273027
A1837	1	3230447	3273027
A2977	1	3225959	3273027
A4540	1	3178710	3273027
A5336	1	3035772	3273027
E0751	1	3178710	3273027
E2193	1	3230447	3273027
E1612	1	3174545	3273100
A3707	1	3176242	3273166
E0183	1	3225959	3273198
A0186	1	3225959	3284215
A0966	1	3225959	3284215
A2409	1	3173681	3284215
B3358	1	3226429	3284232
A1103	1	3225959	3284244
A1917	1	3225959	3284244
A0015	1	3230447	3284332
A2683	1	3230373	3284332
A4949	1	3230447	3284332
E2147	1	3230373	3284332
A3357	1	3173664	3284400
A3675	1	3230447	3284400
A1060	1	3175677	3290173
A5156	1	3230447	3290173
A5837	1	3230447	3290173
A2656	1	3178710	3290219
E0609	1	3225959	3290219
E1260	1	3284400	3290219
A0365	1	3176242	3290728
E1175	1	3230447	3290750
A2155	1	3230373	3290762
A0771	1	3174545	3292885
A5698	1	3290831	3293100
A4375	1	3290728	3293106
A0503	1	3175677	3293961
A1730	1	3293961	3368678
E0298	1	3290219	3368678
A1806	1	3290750	3373310
E1780	1	3284244	3373310
E1495	1	3290929	3373323
E2237	1	3293876	3377661
A2116	1	3290831	3378143
A3350	1	3373310	3378143
A4377	1	3293100	3378143
A4381	1	3290792	3378143
A4483	1	3293100	3378143
A5559	1	3290750	3378143
E0254	1	3290750	3378143
E1646	1	3293997	3378143
E2001	1	3290728	3378143
E2475	1	3293876	3378143
A3349	1	3293961	3379084
E1731	1	3290750	3379089
A0777	1	3378143	3381011
A1256	1	3293839	3381011
A1415	1	3293961	3381011
A2136	1	3290929	3381011
A2237	1	3290750	3381011
A3304	1	3378143	3381011
A5392	1	3378143	3381011
B3071	1	3293876	3381011
B3318	1	3293961	3381011
E0616	1	3290929	3381011
E1611	1	3378143	3381011
E2332	1	3293961	3381011
A4156	1	3293961	3382737
A3654	1	3292885	3385474
B3239	1	3293100	3385474
E0965	1	3293947	3385474
A1405	1	3175677	3385502
A0072	1	3385474	3441957
A0560	1	3290750	3441957
A0936	1	3381011	3441957
A2306	1	3290831	3441957
A2927	1	3381011	3441957
A3241	1	3381011	3441957
A0362	1	3385502	3442010
A3258	1	3379117	3442010
A1097	1	3378143	3442039
A0072	1	3441957	3442042
A3427	1	3290750	3442042
A5446	1	3290728	3442042
E0820	1	3379089	3442042
A5047	1	3385502	3442947
A2665	1	3441957	3442962
B3196	1	3290929	3442980
A5842	1	3442980	3445792
E0461	1	3442962	3445792
A1113	1	3446110	3478810
A2709	1	3446110	3478810
A4169	1	3446041	3478810
E0210	1	3446110	3478810
A2681	1	3446110	3483508
B3159	1	3446110	3485307
E1572	1	3446041	3485307
E2270	1	2872366	3485307
E2744	1	2872366	3485307
A3080	1	3447161	3486023
A3315	1	3447161	3486023
A4787	1	3447161	3486023
E0956	1	3446041	3486023
A0650	1	3446110	3486029
A3785	1	3446110	3486029
A5181	1	3478810	3486029
E0856	1	3446110	3486029
E1012	1	3446041	3486029
A2485	1	3446110	3486400
A3045	1	3446110	3486400
A3133	1	3446110	3486400
E0744	1	3446110	3486400
A1044	1	3446041	3486467
A1095	1	3446110	3486467
A1431	1	3442980	3486467
A3492	1	3447282	3486467
B3574	1	3445792	3486467
E1255	1	3446041	3486467
E1703	1	3446041	3486467
A1317	1	3446110	3488082
A1391	1	3226429	3488082
A2246	1	3446110	3488082
A2634	1	3446043	3488082
B3685	1	3486467	3488082
E2858	1	3446110	3488082
E2891	1	3446110	3488082
A2292	1	3486467	3490015
A0103	1	3446110	3492375
A2597	1	3446041	3492375
E1395	1	3486467	3492375
B3120	1	3488082	3496539
A2848	1	3495581	3531634
B3683	1	3496539	3531634
E2013	1	3488082	3531653
A3741	1	3492677	3532153
E2480	1	3446041	3532153
E2804	1	3496539	3532153
A4206	1	3488412	3532227
A4821	1	3492677	3532227
B3410	1	3488412	3532227
A3617	1	3441957	3532505
A3501	1	3486467	3532512
E1249	1	3532519	3548316
A1273	1	3532153	3556620
A3450	1	3442962	3556620
A4562	1	3532043	3556620
E1768	1	3532777	3556620
A0129	1	3532452	3573509
A1420	1	3532777	3573509
A1840	1	3532519	3573509
A4837	1	3492677	3573509
A1446	1	3494474	3573771
A1554	1	3492375	3573771
A4733	1	3494474	3573771
E2430	1	3488082	3573771
E2916	1	3447161	3573771
B3002	1	3496539	3573781
E1522	1	3496539	3573781
E1565	1	3496539	3573781
A0284	1	3446041	3651534
A1089	1	3573781	3651534
A1672	1	3485307	3651534
A1814	1	3573781	3651534
A2804	1	3573771	3651534
A3308	1	3573771	3651534
A5812	1	3532153	3651534
E1503	1	3573771	3651534
E1655	1	3573781	3651534
E1704	1	3532777	3651534
E1939	1	3496539	3651534
E2714	1	3531814	3651534
A2856	1	3573771	3651548
E0529	1	3573771	3651548
E1059	1	3532153	3651548
E2372	1	3573771	3651548
A0267	1	3532153	3741943
A0435	1	3532505	3741943
A0483	1	3573509	3741943
A0627	1	3532227	3741943
A0820	1	3556620	3741943
A0952	1	3651534	3741943
A1563	1	3556620	3741943
A1917	1	3573771	3741943
A2334	1	3573771	3741943
A3289	1	3573771	3741943
A3648	1	3573509	3741943
A3663	1	3573771	3741943
A4469	1	3496539	3741943
A4987	1	3651534	3741943
A5578	1	3651534	3741943
B3033	1	3573771	3741943
E0453	1	3573771	3741943
E1551	1	3532512	3741943
E1872	1	3651548	3741943
E2298	1	3532512	3741943
E2922	1	3532227	3741943
E2963	1	3532505	3741943
A0048	1	3496539	3741959
A0529	1	3492375	3741959
A0958	1	3651534	3741959
A1837	1	3651534	3741959
A1851	1	3573781	3741959
A1992	1	3573771	3741959
A2060	1	3573771	3741959
A2253	1	3651534	3741959
A2922	1	3556620	3741959
A3281	1	3651534	3741959
A3473	1	3494876	3741959
A4837	1	3651534	3741959
A5048	1	3573771	3741959
B3302	1	3573771	3741959
B3406	1	3532505	3741959
E0760	1	3532505	3741959
E0775	1	3573771	3741959
E1665	1	3573771	3741959
A0656	1	3651548	3742228
A0856	1	3573781	3742228
E2403	1	3651548	3742228
A0636	1	3492375	3743946
A2330	1	3573771	3743946
A4921	1	3573771	3743946
E1892	1	3532153	3743946
E1952	1	3495581	3743946
A3302	1	3651548	3743964
A5793	1	3573771	3743964
B3036	1	3486467	3743964
E0099	1	3573771	3743964
E1069	1	3488082	3743964
E1742	1	3532153	3743964
A1069	1	3573771	3773662
A2088	1	3496539	3773662
A2773	1	3556620	3773662
A2984	1	3573771	3773662
A3037	1	3443019	3773662
A3133	1	3741943	3773662
A4490	1	3741959	3773662
A5280	1	3573771	3773662
B3190	1	3532227	3773662
E0272	1	3743964	3773662
E1062	1	3573509	3773662
E2560	1	3573771	3773662
A0020	1	3743946	3775642
E0409	1	3573771	3775669
E1371	1	3743964	3775763
A5192	1	3651534	3775926
E2405	1	3743946	3775926
E0266	1	3743946	3775996
A0142	1	3743946	3776106
A1398	1	3651534	3776106
A2250	1	3741959	3776106
A4375	1	3743946	3776106
B3246	1	3743964	3776106
E1616	1	3743964	3776106
A0290	1	3573771	3776667
A1662	1	3742228	3776667
B3060	1	3486467	3776667
E1894	1	3532512	3776667
A0184	1	3556620	3777137
A1098	1	3743946	3777137
E2953	1	3773662	3796507
A5284	1	3776106	3798129
E2350	1	3741943	3798129
E0456	1	3776667	3799437
A4100	1	3532505	3800121
B3098	1	3573781	3800121
B3277	1	3776667	3800121
A0966	1	3573771	3800174
A3272	1	3775996	3800258
A4366	1	3743946	3800258
A5170	1	3743964	3800258
A3352	1	3773662	3800585
A5417	1	3743946	3800585
A4678	1	3532512	3800634
A5766	1	3556620	3800634
E1067	1	3573771	3800634
A4761	1	3777133	3800657
E1037	1	3776106	3800657
A1193	1	2829566	3800736
A3296	1	2829566	3800736
A0179	1	3741943	3800902
E1078	1	3800657	3805463
A1251	1	3800993	3809979
E1142	1	3800924	3809979
E2970	1	3805890	3809979
E2504	1	3800993	3812273
A2293	1	3811653	3843340
A3783	1	3812273	3843340
A4540	1	3812273	3843340
E1753	1	3812273	3843340
E2450	1	3812302	3843340
E2448	1	3812273	3846850
A1831	1	3812273	3847206
A2205	1	3812273	3848047
A2785	1	3812273	3848047
E0675	1	3812273	3848047
E0513	1	3843340	3848060
A3342	1	3812273	3848065
A0580	1	3812273	3848725
A2087	1	3812302	3848725
A5285	1	3775996	3848725
B3349	1	3801107	3848725
E2481	1	3848047	3849299
A0313	1	3812273	3851379
A1191	1	3805786	3851598
A3386	1	3800895	3851598
E0806	1	3801107	3851801
E1762	1	3848065	3851801
A1966	1	3805890	3853699
A3344	1	3848725	3853699
E0543	1	3805890	3853699
A0911	1	3800585	3853946
A4618	1	3805786	3854338
A0574	1	3854338	3960483
A1239	1	3851337	3960483
A2960	1	3843340	3960483
E1075	1	3854338	3960483
E1426	1	3843340	3960483
E2504	1	3854338	3960630
A2701	1	3854265	3968087
A4639	1	3854338	3968103
A5276	1	3854338	3968103
E1580	1	3854338	3968103
A1494	1	3854338	3971096
A4930	1	3853946	3971096
E0069	1	3851801	3971096
E0937	1	3851801	3971096
A1670	1	3854338	3971133
A2613	1	3854338	3971133
A0886	1	3854338	3971137
A2622	1	3978961	4110067
A5771	1	3968103	4110067
E0280	1	3968103	4110067
E0790	1	3800121	4110067
E1782	1	3971146	4110067
A1363	1	3971146	4110074
A3418	1	3971137	4110074
B3055	1	3971146	4110074
B3076	1	3971096	4110074
E2782	1	3968087	4110320
B3105	1	3971096	4113351
E1146	1	3971133	4113351
A2054	1	3971096	4120436
A4870	1	3968106	4120482
E0258	1	3971137	4120482
A0150	1	3848725	4120599
A2050	1	3971133	4120599
A2119	1	3851801	4120599
A3091	1	3960483	4120599
A5835	1	3853946	4120599
E0328	1	3968087	4120599
E1641	1	3971137	4120599
E2499	1	3776106	4120599
E0779	1	3978961	4123278
A2497	1	4123275	4125680
E1646	1	3971133	4125680
A0415	1	4123327	4133628
A1921	1	4123278	4133628
A3596	1	4120599	4133628
A4160	1	4120599	4133628
A4801	1	4125680	4133628
A4880	1	3978961	4133628
A5849	1	4125680	4135392
B3194	1	4110074	4135392
B3700	1	4120436	4135392
E0136	1	4123278	4135392
E1527	1	4123278	4135392
A0783	1	4110067	4135494
A1641	1	4125680	4135494
A2974	1	4125680	4135494
B3175	1	4125680	4135494
E2005	1	4125680	4135494
B3532	1	4123282	4135548
E0991	1	3968087	4135548
A1886	1	4135633	4137867
B3520	1	4135657	4149611
E0111	1	4137867	4149611
E2837	1	4135392	4149611
A4426	1	4137806	4234327
A0051	1	4149578	4234389
A0405	1	4135558	4251709
E1830	1	4135558	4251709
E2313	1	4135558	4251709
A1665	1	4149611	4272969
A0152	1	4137806	4289356
A1682	1	4137867	4289356
A4676	1	4149578	4289356
A5400	1	4137806	4289356
B3589	1	4137848	4289356
E0136	1	4149611	4289356
E0309	1	4149611	4289356
A2169	1	4137867	4341075
A2296	1	4137867	4341075
A3495	1	4137867	4341075
A3621	1	4137867	4341075
A5048	1	4234389	4341075
A5376	1	4135392	4341075
A5562	1	4136405	4341075
E0354	1	4135392	4341075
E2369	1	4137867	4341075
A2616	1	4135558	4341123
A5102	1	4135558	4341123
A1821	1	4234389	4341237
E1310	1	4149611	4345526
A2278	1	3495795	4346721
A0537	1	4135558	4404169
A2985	1	4345526	4404169
A5037	1	4345526	4404169
B3292	1	4289356	4404169
E1379	1	4137806	4404169
E2883	1	4136405	4404169
A4236	1	4149611	4406228
A5481	1	4343526	4418924
B3302	1	4346721	4418924
A0606	1	4345526	4498086
A0926	1	4418924	4498086
A2163	1	4418912	4498086
E0359	1	4350215	4498086
A1090	1	4418924	4499719
A1369	1	4406228	4499719
A2580	1	4418924	4499719
A2958	1	4418924	4499719
E0314	1	4404169	4499719
E1638	1	4418038	4499720
A0815	1	4498086	4536428
A3107	1	4500013	4536428
A5196	1	4346625	4536428
B3157	1	4498086	4536428
E0355	1	4418374	4536428
A0768	1	4345526	4536430
E2737	1	4500013	4536430
A2283	1	4123282	4537908
A4556	1	4500013	4537908
A5396	1	4418150	4537908
E2399	1	4418924	4537908
A1037	1	4498086	4542200
A1673	1	4418924	4542200
A5377	1	4406228	4542200
B3337	1	4406228	4542200
B3360	1	4538161	4542200
B3391	1	4406228	4542200
A4840	1	4136405	4543270
A0524	1	4133628	4544561
A2563	1	4499720	4544561
A2428	1	4537908	4544576
A2508	1	4418924	4590262
B3436	1	4418924	4590262
B3470	1	4406228	4590262
E1804	1	4544561	4590262
A0942	1	4536428	4590269
A2079	1	4544561	4590269
A5320	1	4544561	4590302
A1280	1	4543527	4590307
A2578	1	4537908	4590307
A3591	1	4536428	4590307
E2887	1	4536428	4590307
A2583	1	4406228	4590968
A3791	1	4406228	4590968
A1544	1	4498086	4591187
A1602	1	4498086	4591242
A2628	1	4544634	4591242
A4314	1	4544561	4591305
B3002	1	4597872	4658340
B3159	1	4591483	4658384
B3574	1	4591305	4658384
A0126	1	4597857	4659167
A0362	1	4591449	4659167
A1807	1	4590262	4659167
A2315	1	4591596	4659167
A3263	1	4591242	4659167
A3518	1	4590262	4659167
A5220	1	4590262	4659167
B3499	1	4591187	4659167
E2777	1	4591551	4659167
E2971	1	4591242	4659167
A0471	1	4544561	4659229
A0898	1	4590970	4659229
A2243	1	4597857	4659229
A2671	1	4590262	4659229
A5593	1	4591483	4659229
B3411	1	4590821	4659229
B3414	1	4591483	4659229
E1221	1	4597857	4659229
E2863	1	4591444	4661173
A0803	1	4591444	4661321
A1286	1	4591444	4661321
A2545	1	4659229	4661321
A2898	1	4591444	4661321
A5199	1	4597857	4661321
A5417	1	4591449	4661321
E0412	1	4597857	4661321
A0850	1	4591596	4661344
A1194	1	4591242	4661344
A2161	1	4597857	4661344
B3578	1	4591242	4661448
A1132	1	4591242	4661579
E2384	1	4597857	4661579
A4784	1	4597872	4662224
E0594	1	4590968	4662224
A0924	1	4661321	4662347
A1920	1	4591449	4662347
A2980	1	4591242	4662347
A3109	1	4591449	4662347
A3589	1	4597857	4662347
E0282	1	4591483	4662347
A1674	1	4591483	4663280
E1651	1	4591551	4663280
A2715	1	4662811	4669047
A5105	1	4591444	4669047
A5868	1	4671021	4710757
E2580	1	4669161	4710757
A0938	1	4663280	4710791
A2963	1	4669047	4710791
A1816	1	4669047	4716292
E0884	1	4669161	4716292
A0135	1	4662485	4716392
A1153	1	4669161	4716392
A2596	1	4710899	4716392
A4646	1	4663280	4716392
A2446	1	4663255	4717818
A5748	1	4662403	4717818
E2312	1	4662403	4717818
E1521	1	4717818	4719540
A2666	1	4669042	4719570
E1209	1	4663255	4719570
E0596	1	4719540	4723850
A5146	1	4719606	4723999
B3324	1	4717818	4723999
A1829	1	4719540	4724024
A0819	1	4719570	4724150
E2038	1	4719606	4724150
A0774	1	3805723	4725875
A2860	1	4726003	4833252
A3368	1	4716534	4833252
A3799	1	4719570	4833252
A4560	1	4719606	4833252
E2091	1	4736856	4833252
E1886	1	4724150	4841158
A0575	1	4736856	4842080
A0710	1	4723999	4842080
A2731	1	4724150	4842080
A2979	1	4710757	4842080
A3621	1	4736856	4842080
A5778	1	4724150	4842080
E1718	1	4724150	4842080
A1432	1	4736856	4842148
A0286	1	4723960	4842208
B3468	1	4719606	4842208
E0580	1	4726027	4842208
E1793	1	4726003	4842208
A0634	1	4724150	4842217
A1800	1	4726003	4842217
A2948	1	4736856	4842217
A3280	1	4724024	4842217
A4151	1	4723999	4842217
B3586	1	4719606	4842217
A0740	1	4736856	4884501
A0936	1	4724150	4884501
A1383	1	4723999	4884501
A1970	1	4719606	4884501
A2727	1	4662316	4884501
A4156	1	4723999	4884501
E1852	1	4842217	4884501
A0287	1	4720456	4891098
A5948	1	4726027	4891098
A0216	1	4726003	4891197
A4148	1	4884501	4891197
E1335	1	4736856	4891197
E2939	1	4842208	4891197
A2356	1	4726027	4891198
A0699	1	4842217	4891475
A0756	1	4723960	4891475
B3426	1	4842217	4891496
A0701	1	4736856	4891513
A2643	1	4719570	4891513
A2934	1	4719540	4891513
A0825	1	4736856	4891663
A0912	1	4724150	4891663
A3330	1	4719570	4891663
A0300	1	4736856	4891731
A3044	1	4717292	4891862
A0982	1	3293961	4897198
B3693	1	3293961	4897198
A0172	1	4897198	4907459
A0220	1	4891943	4907459
A0538	1	4895517	4907459
A0632	1	4895400	4907459
A1245	1	3290929	4907459
A5276	1	4891943	4907459
B3166	1	4716306	4907459
E0757	1	4897198	4907459
E0916	1	4891943	4907459
E2293	1	4895517	4907459
A4585	1	4891731	4908705
B3071	1	4907459	4908705
A1846	1	4891943	4908914
A0129	1	4907459	4909212
A2252	1	4908907	4909212
A4531	1	4908907	4909212
A0905	1	4909212	4910267
A1846	1	4909212	4914501
A4531	1	4909212	4914501
E0416	1	4909212	4914501
E0801	1	4910267	4914501
A3590	1	4907459	4914509
E1412	1	4907459	4914509
A0172	1	4910267	4914637
E0127	1	4909212	4914637
E1370	1	4908914	4914637
A0487	1	4909212	4914681
A0902	1	3385502	4914865
A5012	1	3492375	4914865
E1189	1	3385502	4914865
E2864	1	3800954	4914865
A2610	1	4914637	4979729
A0129	1	4914637	5094935
A2790	1	4914637	5094935
A3372	1	4907459	5094935
A5494	1	4914637	5094935
E1038	1	4914637	5094935
E1151	1	4914637	5094935
E1241	1	4914865	5094935
E1539	1	4914681	5094935
E2292	1	4914865	5094935
E2507	1	4914637	5094935
E2958	1	4914637	5094935
B3236	1	4979729	5094938
B3452	1	4979729	5094938
A0100	1	4543461	5095501
A5327	1	3495795	5095501
E1085	1	4499940	5095501
A0541	1	4914786	5102589
A1035	1	4914637	5102589
A1063	1	4908914	5102589
